date,min_bid,max_ask,mid,volume
2023-09-30,26875.1,27083.3,26966.063430457343,3185933
2023-10-01,26945.7,28304.9,27333.04312516537,9827492
2023-10-02,27270.0,28589.0,28046.32566236807,20809608
2023-10-03,27146.6,27660.0,27444.47343244151,10722892
2023-10-04,27188.0,27824.9,27497.526742397346,13562788
2023-10-05,27338.5,28116.6,27667.465168122457,14730647
2023-10-06,27160.0,28332.8,27730.4829061996,18633862
2023-10-07,27845.9,28029.7,27930.045542203283,5195990
2023-10-08,27688.0,28097.3,27913.29454209503,8019444
2023-10-09,27253.6,27994.4,27608.37047586447,14825659
2023-10-10,27287.0,27730.0,27484.95824087798,10854733
2023-10-11,26516.6,27469.2,26972.145993415936,16806443
2023-10-12,26533.5,26935.0,26732.75963141915,9755299
2023-10-13,26664.8,27111.7,26819.637612957024,9135259
2023-10-14,26778.9,26976.4,26872.891593752844,2697385
2023-10-15,26799.0,27287.6,26993.74828034308,5539812
2023-10-16,27108.4,30568.1,28093.42501430405,31393411
2023-10-17,28063.8,28615.6,28375.35538926581,12627516
2023-10-18,28133.8,28999.9,28412.45455177703,10939212
2023-10-19,28090.7,28922.0,28508.763799547945,10972213
2023-10-20,28578.9,30263.5,29482.77964069332,23590176
2023-10-21,29466.4,30384.6,29855.17278097525,9573013
2023-10-22,29621.4,30280.9,29925.515400791268,7390432
2023-10-23,29884.8,35812.0,31175.92631978138,44118216
2023-10-24,32857.1,35296.5,34107.622691414384,43741546
2023-10-25,33675.1,35163.0,34400.09918390096,19844114
2023-10-26,33749.0,34841.5,34336.23608477443,13505235
2023-10-27,33366.0,34271.1,33964.41494740788,11608539
2023-10-28,33874.2,34543.0,34118.499804243496,6793353
2023-10-29,33951.6,34785.5,34388.392110627385,8655129
2023-10-30,34071.9,34888.0,34480.778239091655,13042186
2023-10-31,34038.2,34768.1,34403.14294410107,10198652
2023-11-01,34100.0,35769.2,34719.199791176456,20029104
2023-11-02,34313.0,36067.4,35180.28684864012,15862017
2023-11-05,34117.2,34960.0,34519.49614019958,8484767
2023-11-06,34588.2,35277.7,34811.28561260574,7815319
2023-11-07,34758.3,35309.7,35036.494634235394,14844683
2023-11-08,34532.7,35920.2,35039.3135573687,12969111
2023-11-09,35102.1,36217.9,35469.934714186806,41181848
2023-11-10,36351.6,37565.2,36978.233765249686,16082565
2023-11-11,36606.0,37419.2,37099.34745688141,8616138
2023-11-12,36744.5,37264.6,37094.144278971326,6182403
2023-11-13,35394.3,37999.0,36531.71986939774,13006862
2023-11-14,35500.8,37961.5,36861.60603626472,22813314
2023-11-17,36204.5,36875.1,36514.423899715104,19031147
2023-11-18,36390.0,37526.4,36740.78520579847,5545786
2023-11-19,36600.0,37777.9,37326.94156863122,7156784
2023-11-20,35710.2,37677.0,36966.50313029336,17604817
2023-11-21,36866.2,37653.8,37306.059679653685,26196655
2023-11-24,37258.8,38439.0,37761.44331835264,21240094
2023-11-25,37137.4,37832.8,37534.70962130651,3745831
2023-11-26,37532.2,38550.5,37956.70036574816,9342447
2023-11-27,37450.1,38139.0,37762.55311584011,13358445
2023-12-01,37610.3,39006.2,38438.894778550304,17526998
2023-12-02,38652.4,39877.2,39029.26113821699,12077527
2023-12-03,41410.7,44519.3,42711.85407476995,11665548
2023-12-04,43364.2,44317.0,43900.30875015148,34164520
2023-12-08,43108.0,44765.6,43752.67309154718,18695178
2023-12-09,43562.6,44397.2,44040.06814617935,11862413
2023-12-10,40188.0,43832.2,41848.11486252432,8177478
